"","GID","GeneID"
"5081","5081","PAX7"
"10747","10747","MASP2"
"389434","389434","IYD"
"199870","199870","FAM76A"
"80342","80342","TRAF3IP3"
"29954","29954","POMT2"
"51534","51534","VTA1"
"51085","51085","MLXIPL"
"9031","9031","BAZ1B"
"10048","10048","RANBP9"
"51513","51513","ETV7"
"83932","83932","SPRTN"
"8798","8798","DYRK4"
"7756","7756","ZNF207"
"7384","7384","UQCRC1"
"83930","83930","STARD3NL"
"928","928","CD9"
"57467","57467","HHATL"
"9918","9918","NCAPD2"
"25900","25900","IFFO1"
"2696","2696","GIPR"
"51533","51533","PHF7"
"56920","56920","SEMA3G"
"11188","11188","NISCH"
"23166","23166","STAB1"
"80199","80199","FUZ"
"6540","6540","SLC6A13"
"3423","3423","IDS"
"5646","5646","PRSS3"
"7752","7752","ZNF200"
"920","920","CD4"
"10233","10233","LRRC23"
"695","695","BTK"
"3077","3077","HFE"
"22955","22955","SCMH1"
"2534","2534","FYN"
"3097","3097","HIVEP2"
"2326","2326","FMO1"
"6924","6924","ELOA"
"11313","11313","LYPLA2"
"1185","1185","CLCN6"
"9902","9902","MRC2"
"654364","654364","NME1-NME2"
"6534","6534","SLC6A7"
"10867","10867","TSPAN9"
"55727","55727","BTBD7"
"9546","9546","APBA3"
"54903","54903","MKS1"
"51099","51099","ABHD5"
"3730","3730","ANOS1"
"26993","26993","AKAP8L"
"54799","54799","MBTD1"
"51096","51096","UTP18"
"54476","54476","RNF216"
"54902","54902","TTC19"
"5725","5725","PTBP1"
"8193","8193","DPF1"
"9066","9066","SYT7"
"23395","23395","LARS2"
"5286","5286","PIK3C2A"
"5329","5329","PLAUR"
"54443","54443","ANLN"
"58525","58525","WIZ"
"23637","23637","RABGAP1"
"1634","1634","DCN"
"54814","54814","QPCTL"
"5536","5536","PPP5C"
"23177","23177","CEP68"
"8491","8491","MAP4K3"
"27033","27033","ZBTB32"
"7305","7305","TYROBP"
"2556","2556","GABRA3"
"672","672","BRCA1"
"2067","2067","ERCC1"
"933","933","CD22"
"7869","7869","SEMA3B"
"51360","51360","MBTPS2"
"4007","4007","PRICKLE3"
"4057","4057","LTF"
"2137","2137","EXTL3"
"9971","9971","NR1H4"
"60481","60481","ELOVL5"
"240","240","ALOX5"
"8284","8284","KDM5D"
"57658","57658","CALCOCO1"
"55148","55148","UBR7"
"11183","11183","MAP4K5"
"30845","30845","EHD3"
"5704","5704","PSMC4"
"23324","23324","MAN2B2"
"57709","57709","SLC7A14"
"5010","5010","CLDN11"
"51629","51629","SLC25A39"
"9961","9961","MVP"
"51667","51667","NUB1"
"5238","5238","PGM3"
"112611","112611","RWDD2A"
"1195","1195","CLK1"
"55703","55703","POLR3B"
"23357","23357","ANGEL1"
"9604","9604","RNF14"
"1774","1774","DNASE1L1"
"1663","1663","DDX11"
"50865","50865","HEBP1"
"9052","9052","GPRC5A"
"10046","10046","MAMLD1"
"923","923","CD6"
"10460","10460","TACC3"
"23376","23376","UFL1"
"23649","23649","POLA2"
"23144","23144","ZC3H3"
"823","823","CAPN1"
"55","55","ACP3"
"4190","4190","MDH1"
"10463","10463","SLC30A9"
"10903","10903","MTMR11"
"1355","1355","COX15"
"440193","440193","CCDC88C"
"10138","10138","YAF2"
"10771","10771","ZMYND11"
"7454","7454","WAS"
"1800","1800","DPEP1"
"637","637","BID"
"9782","9782","MATR3"
"29881","29881","NPC1L1"
"64132","64132","XYLT2"
"81551","81551","STMN4"
"23386","23386","NUDCD3"
"3670","3670","ISL1"
"55349","55349","CHDH"
"53832","53832","IL20RA"
"1179","1179","CLCA1"
"22802","22802","CLCA4"
"55830","55830","GLT8D1"
"27032","27032","ATP2C1"
"3479","3479","IGF1"
"92745","92745","SLC38A5"
"10928","10928","RALBP1"
"22902","22902","RUFY3"
"1272","1272","CNTN1"
"6556","6556","SLC11A1"
"25937","25937","WWTR1"
"8540","8540","AGPS"
"477","477","ATP1A2"
"55622","55622","TTC27"
"147948","147948","ZNF582"
"23584","23584","VSIG2"
"23187","23187","PHLDB1"
"8685","8685","MARCO"
"1591","1591","CYP24A1"
"56981","56981","PRDM11"
"57586","57586","SYT13"
"6591","6591","SNAI2"
"972","972","CD74"
"3082","3082","HGF"
"54764","54764","ZRANB1"
"23154","23154","NCDN"
"25960","25960","ADGRA2"
"55734","55734","ZFP64"
"4331","4331","MNAT1"
"23034","23034","SAMD4A"
"864","864","RUNX3"
"4361","4361","MRE11"
"58473","58473","PLEKHB1"
"1992","1992","SERPINB1"
"64816","64816","CYP3A43"
"11136","11136","SLC7A9"
"6683","6683","SPAST"
"9369","9369","NRXN3"
"114879","114879","OSBPL5"
"9716","9716","AQR"
"1373","1373","CPS1"
"732","732","C8B"
"2273","2273","FHL1"
"51507","51507","RTF2"
"2554","2554","GABRA1"
"55655","55655","NLRP2"
"57210","57210","SLC45A4"
"9921","9921","RNF10"
"55778","55778","ZNF839"
"64429","64429","ZDHHC6"
"57476","57476","GRAMD1B"
"6050","6050","RNH1"
"4719","4719","NDUFS1"
"9821","9821","RB1CC1"
"23071","23071","ERP44"
"211","211","ALAS1"
"330","330","BIRC3"
"11215","11215","AKAP11"
"51022","51022","GLRX2"
"6617","6617","SNAPC1"
"51071","51071","DERA"
"11171","11171","STRAP"
"1244","1244","ABCC2"
"50619","50619","DEF6"
"51177","51177","PLEKHO1"
"2730","2730","GCLM"
"23304","23304","UBR2"
"30846","30846","EHD2"
"55635","55635","DEPDC1"
"25901","25901","CCDC28A"
"58528","58528","RRAGD"
"3298","3298","HSF2"
"51230","51230","PHF20"
"8630","8630","HSD17B6"
"10062","10062","NR1H3"
"1890","1890","TYMP"
"29781","29781","NCAPH2"
"10953","10953","TOMM34"
"11231","11231","SEC63"
"23633","23633","KPNA6"
"7431","7431","VIM"
"100533107","100533107","RTEL1-TNFRSF6B"
"355","355","FAS"
"8635","8635","RNASET2"
"960","960","CD44"
"3755","3755","KCNG1"
"56895","56895","AGPAT4"
"57823","57823","SLAMF7"
"11119","11119","BTN3A1"
"4285","4285","MIPEP"
"5583","5583","PRKCH"
"3645","3645","INSRR"
"3459","3459","IFNGR1"
"11285","11285","B4GALT7"
"9047","9047","SH2D2A"
"7444","7444","VRK2"
"7133","7133","TNFRSF1B"
"55591","55591","VEZT"
"5452","5452","POU2F2"
"65980","65980","BRD9"
"6642","6642","SNX1"
"9519","9519","TBPL1"
"9774","9774","BCLAF1"
"55334","55334","SLC39A9"
"286","286","ANK1"
"3381","3381","IBSP"
"51106","51106","TFB1M"
"9135","9135","RABEP1"
"3149","3149","HMGB3"
"23279","23279","NUP160"
"578","578","BAK1"
"4593","4593","MUSK"
"22807","22807","IKZF2"
"2896","2896","GRN"
"51306","51306","FAM13B"
"57514","57514","ARHGAP31"
"55166","55166","CENPQ"
"6301","6301","SARS1"
"8498","8498","RANBP3"
"5926","5926","ARID4A"
"7260","7260","EIPR1"
"10908","10908","PNPLA6"
"8100","8100","IFT88"
"56052","56052","ALG1"
"55596","55596","ZCCHC8"
"10061","10061","ABCF2"
"54480","54480","CHPF2"
"57554","57554","LRRC7"
"2530","2530","FUT8"
"55236","55236","UBA6"
"9846","9846","GAB2"
"535","535","ATP6V0A1"
"8554","8554","PIAS1"
"9497","9497","SLC4A7"
"321","321","APBA2"
"5606","5606","MAP2K3"
"9168","9168","TMSB10"
"28990","28990","ASTE1"
"25897","25897","RNF19A"
"8504","8504","PEX3"
"11345","11345","GABARAPL2"
"4653","4653","MYOC"
"26751","26751","SH3YL1"
"84908","84908","FAM136A"
"7414","7414","VCL"
"55789","55789","DEPDC1B"
"23604","23604","DAPK2"
"8439","8439","NSMAF"
"159","159","ADSS2"
"26228","26228","STAP1"
"7077","7077","TIMP2"
"5981","5981","RFC1"
"55773","55773","TBC1D23"
"8452","8452","CUL3"
"9172","9172","MYOM2"
"5009","5009","OTC"
"10858","10858","CYP46A1"
"26009","26009","ZZZ3"
"6570","6570","SLC18A1"
"9099","9099","USP2"
"846","846","CASR"
"27175","27175","TUBG2"
"51121","51121","RPL26L1"
"2324","2324","FLT4"
"54888","54888","NSUN2"
"54455","54455","FBXO42"
"4238","4238","MFAP3"
"84245","84245","MRI1"
"4234","4234","METTL1"
"3224","3224","HOXC8"
"175","175","AGA"
"55300","55300","PI4K2B"
"259282","259282","BOD1L1"
"27430","27430","MAT2B"
"7092","7092","TLL1"
"23644","23644","EDC4"
"7204","7204","TRIO"
"1462","1462","VCAN"
"23274","23274","CLEC16A"
"4481","4481","MSR1"
"999","999","CDH1"
"23517","23517","MTREX"
"1767","1767","DNAH5"
"9765","9765","ZFYVE16"
"79567","79567","RIPOR1"
"729","729","C6"
"26064","26064","RAI14"
"11063","11063","SOX30"
"11284","11284","PNKP"
"54831","54831","BEST2"
"23035","23035","PHLPP2"
"54908","54908","SPDL1"
"27067","27067","STAU2"
"54896","54896","SLC66A1"
"1497","1497","CTNS"
"65078","65078","RTN4R"
"79142","79142","PHF23"
"1008","1008","CDH10"
"3631","3631","INPP4A"
"5874","5874","RAB27B"
"5685","5685","PSMA4"
"23026","23026","MYO16"
"55341","55341","LSG1"
"10039","10039","PARP3"
"3371","3371","TNC"
"90326","90326","THAP3"
"140876","140876","RIPOR3"
"55775","55775","TDP1"
"84883","84883","AIFM2"
"56918","56918","C2orf83"
"55812","55812","SPATA7"
"9440","9440","MED17"
"54884","54884","RETSAT"
"822","822","CAPG"
"1175","1175","AP2S1"
"7399","7399","USH2A"
"11055","11055","ZPBP"
"7038","7038","TG"
"10863","10863","ADAM28"
"8538","8538","BARX2"
"54165","54165","DCUN1D1"
"23338","23338","JADE2"
"7546","7546","ZIC2"
"3937","3937","LCP2"
"54802","54802","TRIT1"
"153","153","ADRB1"
"2981","2981","GUCA2B"
"9820","9820","CUL7"
"1495","1495","CTNNA1"
"5256","5256","PHKA2"
"54875","54875","CNTLN"
"2042","2042","EPHA3"
"3309","3309","HSPA5"
"1829","1829","DSG2"
"54960","54960","GEMIN8"
"8481","8481","OFD1"
"2824","2824","GPM6B"
"51438","51438","MAGEC2"
"80243","80243","PREX2"
"22884","22884","WDR37"
"64848","64848","YTHDC2"
"56474","56474","CTPS2"
"51606","51606","ATP6V1H"
"5431","5431","POLR2B"
"116984","116984","ARAP2"
"7175","7175","TPR"
"1356","1356","CP"
"23247","23247","KATNIP"
"84062","84062","DTNBP1"
"7504","7504","XK"
"57101","57101","ANO2"
"57102","57102","C12orf4"
"6322","6322","SCML1"
"55841","55841","WWC3"
"395","395","ARHGAP6"
"27146","27146","FAM184B"
"4134","4134","MAP4"
"57120","57120","GOPC"
"6098","6098","ROS1"
"57646","57646","USP28"
"9734","9734","HDAC9"
"26262","26262","TSPAN17"
"51491","51491","NOP16"
"57545","57545","CC2D2A"
"50484","50484","RRM2B"
"168850","168850","ZNF800"
"608","608","TNFRSF17"
"92017","92017","SNX29"
"55885","55885","LMO3"
"55173","55173","MRPS10"
"2978","2978","GUCA1A"
"51773","51773","RSF1"
"55187","55187","VPS13D"
"10659","10659","CELF2"
"23196","23196","FAM120A"
"23518","23518","R3HDM1"
"1298","1298","COL9A2"
"4254","4254","KITLG"
"1161","1161","ERCC8"
"11174","11174","ADAMTS6"
"9563","9563","H6PD"
"9341","9341","VAMP3"
"8863","8863","PER3"
"10911","10911","UTS2"
"3604","3604","TNFRSF9"
"55040","55040","EPN3"
"4052","4052","LTBP1"
"5954","5954","RCN1"
"2006","2006","ELN"
"5982","5982","RFC2"
"57492","57492","ARID1B"
"81037","81037","CLPTM1L"
"23327","23327","NEDD4L"
"50943","50943","FOXP3"
"89801","89801","PPP1R3F"
"3074","3074","HEXB"
"79810","79810","PTCD2"
"340533","340533","NEXMIF"
"51528","51528","JKAMP"
"27122","27122","DKK3"
"7984","7984","ARHGEF5"
"9603","9603","NFE2L3"
"63933","63933","MCUR1"
"51474","51474","LIMA1"
"25875","25875","LETMD1"
"9498","9498","SLC4A8"
"10319","10319","LAMC3"
"5733","5733","PTGER3"
"79931","79931","TNIP3"
"5601","5601","MAPK9"
"91522","91522","COL23A1"
"9564","9564","BCAR1"
"9709","9709","HERPUD1"
"9454","9454","HOMER3"
"5888","5888","RAD51"
"10721","10721","POLQ"
"5291","5291","PIK3CB"
"1535","1535","CYBA"
"84321","84321","THOC3"
"23593","23593","HEBP2"
"10198","10198","MPHOSPH9"
"54477","54477","PLEKHA5"
"5652","5652","PRSS8"
"80143","80143","SIKE1"
"23223","23223","RRP12"
"57600","57600","FNIP2"
"6307","6307","MSMO1"
"55761","55761","TTC17"
"60529","60529","ALX4"
"23105","23105","FSTL4"
"1112","1112","FOXN3"
"728464","728464","METTL24"
"8574","8574","AKR7A2"
"51154","51154","MRTO4"
"4826","4826","NNAT"
"55850","55850","USE1"
"23101","23101","MCF2L2"
"83714","83714","NRIP2"
"3909","3909","LAMA3"
"55745","55745","AP5M1"
"29945","29945","ANAPC4"
"3784","3784","KCNQ1"
"27095","27095","TRAPPC3"
"9967","9967","THRAP3"
"29085","29085","PHPT1"
"954","954","ENTPD2"
"4065","4065","LY75"
"51742","51742","ARID4B"
"23596","23596","OPN3"
"10806","10806","SDCCAG8"
"5798","5798","PTPRN"
"55733","55733","HHAT"
"23095","23095","KIF1B"
"2296","2296","FOXC1"
"25771","25771","TBC1D22A"
"23224","23224","SYNE2"
"57475","57475","PLEKHH1"
"10079","10079","ATP9A"
"140689","140689","CBLN4"
"25884","25884","CHRDL2"
"23201","23201","FAM168A"
"84957","84957","RELT"
"2581","2581","GALC"
"51602","51602","NOP58"
"26099","26099","SZRD1"
"3757","3757","KCNH2"
"8454","8454","CUL1"
"10827","10827","FAM114A2"
"26999","26999","CYFIP2"
"23118","23118","TAB2"
"116254","116254","GINM1"
"5610","5610","EIF2AK2"
"57602","57602","USP36"
"58508","58508","KMT2C"
"55283","55283","MCOLN3"
"114800","114800","CCDC85A"
"23369","23369","PUM2"
"84545","84545","MRPL43"
"3700","3700","ITIH4"
"3697","3697","ITIH1"
"54969","54969","HPF1"
"51663","51663","ZFR"
"55609","55609","ZNF280C"
"10886","10886","NPFFR2"
"112885","112885","PHF21B"
"7185","7185","TRAF1"
"54542","54542","RC3H2"
"55540","55540","IL17RB"
"10758","10758","TRAF3IP2"
"8908","8908","GYG2"
"131566","131566","DCBLD2"
"6317","6317","SERPINB3"
"6646","6646","SOAT1"
"5318","5318","PKP2"
"4438","4438","MSH4"
"2155","2155","F7"
"2665","2665","GDI2"
"639","639","PRDM1"
"9474","9474","ATG5"
"57458","57458","TMCC3"
"57095","57095","PITHD1"
"57504","57504","MTA3"
"8975","8975","USP13"
"23200","23200","ATP11B"
"3918","3918","LAMC2"
"5218","5218","CDK14"
"29927","29927","SEC61A1"
"4659","4659","PPP1R12A"
"5923","5923","RASGRF1"
"816","816","CAMK2B"
"9696","9696","CROCC"
"55718","55718","POLR3E"
"493","493","ATP2B4"
"9877","9877","ZC3H11A"
"55781","55781","RIOK2"
"54432","54432","YIPF1"
"55706","55706","NDC1"
"1608","1608","DGKG"
"84256","84256","FLYWCH1"
"64718","64718","UNKL"
"6916","6916","TBXAS1"
"64761","64761","PARP12"
"5832","5832","ALDH18A1"
"6894","6894","TARBP1"
"5188","5188","GATB"
"4084","4084","MXD1"
"5128","5128","CDK17"
"548645","548645","DNAJC25"
"6515","6515","SLC2A3"
"5662","5662","PSD"
"9150","9150","CTDP1"
"8531","8531","YBX3"
"55359","55359","STYK1"
"65125","65125","WNK1"
"55749","55749","CCAR1"
"11054","11054","OGFR"
"2769","2769","GNA15"
"84699","84699","CREB3L3"
"55650","55650","PIGV"
"10076","10076","PTPRU"
"9410","9410","SNRNP40"
"23504","23504","RIMBP2"
"1301","1301","COL11A1"
"79832","79832","QSER1"
"51660","51660","MPC1"
"30","30","ACAA1"
"586","586","BCAT1"
"51564","51564","HDAC7"
"11178","11178","LZTS1"
"93166","93166","PRDM6"
"7478","7478","WNT8A"
"6676","6676","SPAG4"
"10787","10787","NCKAP1"
"60488","60488","MRPS35"
"2983","2983","GUCY1B1"
"6433","6433","SFSWAP"
"10188","10188","TNK2"
"23041","23041","MON2"
"1001","1001","CDH3"
"416","416","ARSF"
"65056","65056","GPBP1"
"84649","84649","DGAT2"
"7771","7771","ZNF112"
"1431","1431","CS"
"4058","4058","LTK"
"64951","64951","MRPS24"
"63916","63916","ELMO2"
"23063","23063","WAPL"
"81671","81671","VMP1"
"10513","10513","APPBP2"
"5424","5424","POLD1"
"124925","124925","SEZ6"
"1975","1975","EIF4B"
"28968","28968","SLC6A16"
"29998","29998","BICRA"
"56848","56848","SPHK2"
"6141","6141","RPL18"
"770","770","CA11"
"79763","79763","ISOC2"
"11338","11338","U2AF2"
"29924","29924","EPN1"
"55588","55588","MED29"
"57491","57491","AHRR"
"10838","10838","ZNF275"
"8776","8776","MTMR1"
"2817","2817","GPC1"
"57143","57143","ADCK1"
"3029","3029","HAGH"
"6047","6047","RNF4"
"841","841","CASP8"
"22998","22998","LIMCH1"
"55726","55726","INTS13"
"51768","51768","TM7SF3"
"1747","1747","DLX3"
"53340","53340","SPA17"
"10077","10077","TSPAN32"
"8839","8839","CCN5"
"58524","58524","DMRT3"
"10402","10402","ST3GAL6"
"9914","9914","ATP2C2"
"4804","4804","NGFR"
"50937","50937","CDON"
"6873","6873","TAF2"
"28996","28996","HIPK2"
"23534","23534","TNPO3"
"8625","8625","RFXANK"
"54929","54929","TMEM161A"
"9170","9170","LPAR2"
"5476","5476","CTSA"
"10147","10147","SUGP2"
"6558","6558","SLC12A2"
"28966","28966","SNX24"
"2139","2139","EYA2"
"1265","1265","CNN2"
"10347","10347","ABCA7"
"9627","9627","SNCAIP"
"11218","11218","DDX20"
"53339","53339","BTBD1"
"55711","55711","FAR2"
"8537","8537","BCAS1"
"5449","5449","POU1F1"
"1117","1117","CHI3L2"
"22904","22904","SBNO2"
"5378","5378","PMS1"
"10362","10362","HMG20B"
"10203","10203","CALCRL"
"6882","6882","TAF11"
"23294","23294","ANKS1A"
"8943","8943","AP3D1"
"7629","7629","ZNF76"
"4913","4913","NTHL1"
"2773","2773","GNAI3"
"3843","3843","IPO5"
"4942","4942","OAT"
"10885","10885","WDR3"
"5586","5586","PKN2"
"57418","57418","WDR18"
"9697","9697","TRAM2"
"9423","9423","NTN1"
"9340","9340","GLP2R"
"55388","55388","MCM10"
"1606","1606","DGKA"
"2065","2065","ERBB3"
"54763","54763","ROPN1"
"91526","91526","ANKRD44"
"3735","3735","KARS1"
"23536","23536","ADAT1"
"10954","10954","PDIA5"
"55633","55633","TBC1D22B"
"4710","4710","NDUFB4"
"23013","23013","SPEN"
"4638","4638","MYLK"
"55854","55854","ZC3H15"
"6416","6416","MAP2K4"
"55248","55248","PACC1"
"9892","9892","SNAP91"
"9748","9748","SLK"
"51167","51167","CYB5R4"
"1308","1308","COL17A1"
"119391","119391","GSTO2"
"55176","55176","SEC61A2"
"5588","5588","PRKCQ"
"7089","7089","TLE2"
"51665","51665","ASB1"
"83641","83641","FAM107B"
"4199","4199","ME1"
"23216","23216","TBC1D1"
"8621","8621","CDK13"
"10797","10797","MTHFD2"
"84679","84679","SLC9A7"
"55810","55810","FOXJ2"
"4904","4904","YBX1"
"5141","5141","PDE4A"
"5525","5525","PPP2R5A"
"1496","1496","CTNNA2"
"1994","1994","ELAVL1"
"7075","7075","TIE1"
"57609","57609","DIP2B"
"6602","6602","SMARCD1"
"9682","9682","KDM4A"
"4802","4802","NFYC"
"84217","84217","ZMYND12"
"6550","6550","SLC9A3"
"25791","25791","NGEF"
"259266","259266","ASPM"
"8832","8832","CD84"
"64834","64834","ELOVL1"
"6688","6688","SPI1"
"30834","30834","POLR1H"
"744","744","MPPED2"
"51208","51208","CLDN18"
"27107","27107","ZBTB11"
"4287","4287","ATXN3"
"9950","9950","GOLGA5"
"2263","2263","FGFR2"
"55631","55631","LRRC40"
"51015","51015","ISOC1"
"2009","2009","EML1"
"60487","60487","TRMT11"
"55623","55623","THUMPD1"
"91283","91283","MSANTD3"
"26153","26153","KIF26A"
"55102","55102","ATG2B"
"10565","10565","ARFGEF1"
"348158","348158","ACSM2B"
"57623","57623","ZFAT"
"9650","9650","MTFR1"
"10734","10734","STAG3"
"2235","2235","FECH"
"4649","4649","MYO9A"
"8653","8653","DDX3Y"
"5214","5214","PFKP"
"3422","3422","IDI1"
"6672","6672","SP100"
"1316","1316","KLF6"
"8611","8611","PLPP1"
"4756","4756","NEO1"
"23471","23471","TRAM1"
"5255","5255","PHKA1"
"7132","7132","TNFRSF1A"
"782","782","CACNB1"
"7813","7813","EVI5"
"9399","9399","STOML1"
"5315","5315","PKM"
"54505","54505","DHX29"
"30836","30836","DNTTIP2"
"79091","79091","METTL22"
"7158","7158","TP53BP1"
"7216","7216","TRO"
"51018","51018","RRP15"
"387","387","RHOA"
"1659","1659","DHX8"
"5382","5382","PMS2P4"
"5590","5590","PRKCZ"
"7544","7544","ZFY"
"55699","55699","IARS2"
"6857","6857","SYT1"
"89795","89795","NAV3"
"3421","3421","IDH3G"
"79641","79641","ROGDI"
"57595","57595","PDZD4"
"492","492","ATP2B3"
"6093","6093","ROCK1"
"865","865","CBFB"
"5165","5165","PDK3"
"8692","8692","HYAL2"
"9759","9759","HDAC4"
"11186","11186","RASSF1"
"2261","2261","FGFR3"
"3430","3430","IFI35"
"63897","63897","HEATR6"
"80347","80347","COASY"
"79990","79990","PLEKHH3"
"4205","4205","MEF2A"
